Produtos,Inicial,Final,Premio1,Premio2,Premio3
TELEVISOR LCD + LED + QLED + 4K,"5000.01","5500","556","973","1168"
TELEVISOR LCD + LED + QLED + 4K,"5500.01","6000","609","1065","1279"
TELEVISOR LCD + LED + QLED + 4K,"6000.01","7000","688","1206","1445"
TELEVISOR LCD + LED + QLED + 4K,"7000.01","8000","793","1388","1665"
TELEVISOR LCD + LED + QLED + 4K,"8000.01","9000","898","1574","1886"
TELEVISOR LCD + LED + QLED + 4K,"9000.01","10000","1002","1757","2104"
TELEVISOR LCD + LED + QLED + 4K,"10000.01","11000","1106","1939","2323"
TELEVISOR LCD + LED + QLED + 4K,"11000.01","12000","1210","2121","2541"
TELEVISOR LCD + LED + QLED + 4K,"12000.01","13000","1314","2304","2759"
TELEVISOR LCD + LED + QLED + 4K,"13000.01","14000","1418","2486","2978"
TELEVISOR LCD + LED + QLED + 4K,"14000.01","15000","1522","2669","3196"
TELEVISOR LCD + LED + QLED + 4K,"15000.01","16000","1626","2851","3415"
TELEVISOR LCD + LED + QLED + 4K,"16000.01","17000","1730","3033","3633"
TELEVISOR LCD + LED + QLED + 4K,"17000.01","18000","1834","3216","3851"
TELEVISOR LCD + LED + QLED + 4K,"18000.01","19000","1938","3398","4070"
TELEVISOR LCD + LED + QLED + 4K,"19000.01","20000","2042","3580","4288"
TELEVISOR LCD + LED + QLED + 4K,"20000.01","21000","2146","3763","4507"
TELEVISOR LCD + LED + QLED + 4K,"21000.01","22000","2250","3945","4725"
TELEVISOR LCD + LED + QLED + 4K,"22000.01","23000","2354","4127","4943"
TELEVISOR LCD + LED + QLED + 4K,"23000.01","24000","2458","4310","5162"
TELEVISOR LCD + LED + QLED + 4K,"24000.01","25000","2562","4492","5380"
TELEVISOR LCD + LED + QLED + 4K,"25000.01","26000","2666","4674","5599"
TELEVISOR LCD + LED + QLED + 4K,"26000.01","27000","2770","4857","5817"
TELEVISOR LCD + LED + QLED + 4K,"27000.01","28000","2874","5039","6035"
COMPUTADOR LAPTOP / NOTEBOOK,"0.01",500,"53","93","111"
COMPUTADOR LAPTOP / NOTEBOOK,"500.01",600,"63","110","132"
COMPUTADOR LAPTOP / NOTEBOOK,"600.01",700,"74","130","155"
COMPUTADOR LAPTOP / NOTEBOOK,"700.01",800,"85","149","179"
COMPUTADOR LAPTOP / NOTEBOOK,"800.01",900,"97","170","204"
COMPUTADOR LAPTOP / NOTEBOOK,"900.01","1000","107","188","225"
COMPUTADOR LAPTOP / NOTEBOOK,"1000.01","1100","119","208","250"
COMPUTADOR LAPTOP / NOTEBOOK,"1100.01","1200","130","228","273"
COMPUTADOR LAPTOP / NOTEBOOK,"1200.01","1300","141","247","296"
COMPUTADOR LAPTOP / NOTEBOOK,"1300.01","1400","152","265","319"
COMPUTADOR LAPTOP / NOTEBOOK,"1400.01","1500","162","283","340"
COMPUTADOR LAPTOP / NOTEBOOK,"1500.01","1600","172","300","361"
COMPUTADOR LAPTOP / NOTEBOOK,"1600.01","1700","182","318","382"
COMPUTADOR LAPTOP / NOTEBOOK,"1700.01","1800","194","339","407"
COMPUTADOR LAPTOP / NOTEBOOK,"1800.01","1900","205","358","431"
COMPUTADOR LAPTOP / NOTEBOOK,"1900.01","2000","215","376","452"
COMPUTADOR LAPTOP / NOTEBOOK,"2000.01","2200","232","406","487"
COMPUTADOR LAPTOP / NOTEBOOK,"2200.01","2400","254","444","533"
COMPUTADOR LAPTOP / NOTEBOOK,"2400.01","2600","269","471","565"
COMPUTADOR LAPTOP / NOTEBOOK,"2600.01","2800","291","508","611"
COMPUTADOR LAPTOP / NOTEBOOK,"2800.01","3000","311","544","653"
COMPUTADOR LAPTOP / NOTEBOOK,"3000.01","3500","348","609","731"
COMPUTADOR LAPTOP / NOTEBOOK,"3500.01","4000","402","703","844"
COMPUTADOR LAPTOP / NOTEBOOK,"4000.01","5000","482","842","1012"
COMPUTADOR LAPTOP / NOTEBOOK,"5000.01","6000","588","1029","1235"
COMPUTADOR LAPTOP / NOTEBOOK,"6000.01","7000","695","1217","1460"
COMPUTADOR LAPTOP / NOTEBOOK,"7000.01","8000","802","1404","1684"
COMPUTADOR DESKTOP,"0.01",200,"23","42","48"
COMPUTADOR DESKTOP,"200.01",250,"28","51","59"
COMPUTADOR DESKTOP,"250.01",300,"34","62","71"
COMPUTADOR DESKTOP,"300.01",350,"40","71","84"
COMPUTADOR DESKTOP,"350.01",400,"45","81","95"
COMPUTADOR DESKTOP,"400.01",450,"51","90","107"
COMPUTADOR DESKTOP,"450.01",500,"56","100","118"
COMPUTADOR DESKTOP,"500.01",600,"63","113","132"
COMPUTADOR DESKTOP,"600.01",800,"80","144","168"
COMPUTADOR DESKTOP,"800.01","1000","103","185","216"
COMPUTADOR DESKTOP,"1000.01","1500","140","252","294"
COMPUTADOR DESKTOP,"1500.01","2000","196","352","412"
COMPUTADOR DESKTOP,"2000.01","3000","278","500","584"
COMPUTADOR DESKTOP,"3000.01","4000","387","695","813"
COMPUTADOR DESKTOP,"4000.01","5000","494","890","1037"
IMPRESSORA JATO DE TINTA + LASER,"0.01",200,"18","32","38"
IMPRESSORA JATO DE TINTA + LASER,"200.01",300,"29","51","61"
IMPRESSORA JATO DE TINTA + LASER,"300.01",400,"40","70","84"
IMPRESSORA JATO DE TINTA + LASER,"400.01",500,"51","90","107"
IMPRESSORA JATO DE TINTA + LASER,"500.01",600,"62","107","130"
IMPRESSORA JATO DE TINTA + LASER,"600.01",800,"77","134","162"
IMPRESSORA JATO DE TINTA + LASER,"800.01","1000","98","171","206"
IMPRESSORA JATO DE TINTA + LASER,"1000.01","1500","135","237","284"
IMPRESSORA JATO DE TINTA + LASER,"1500.01","2000","188","329","395"
IMPRESSORA JATO DE TINTA + LASER,"2000.01","2500","238","416","500"
IMPRESSORA JATO DE TINTA + LASER,"2500.01","3000","287","502","603"
IMPRESSORA JATO DE TINTA + LASER,"3000.01","3500","336","587","706"
IMPRESSORA JATO DE TINTA + LASER,"3500.01","4000","382","669","802"
IMPRESSORA JATO DE TINTA + LASER,"4000.01","4500","425","743","893"
MULTIFUNCIONAL + SCANNER,"0.01",200,"18","32","38"
MULTIFUNCIONAL + SCANNER,"200.01",300,"29","51","61"
MULTIFUNCIONAL + SCANNER,"300.01",400,"40","70","84"
MULTIFUNCIONAL + SCANNER,"400.01",500,"51","90","107"
MULTIFUNCIONAL + SCANNER,"500.01",600,"62","107","130"
MULTIFUNCIONAL + SCANNER,"600.01",800,"77","134","162"
MULTIFUNCIONAL + SCANNER,"800.01","1000","98","171","206"
MULTIFUNCIONAL + SCANNER,"1000.01","1500","135","237","284"
MULTIFUNCIONAL + SCANNER,"1500.01","2000","188","329","395"
MULTIFUNCIONAL + SCANNER,"2000.01","2500","238","416","500"
MULTIFUNCIONAL + SCANNER,"2500.01","3000","287","502","603"
MULTIFUNCIONAL + SCANNER,"3000.01","3500","336","587","706"
MULTIFUNCIONAL + SCANNER,"3500.01","4000","382","669","802"
MULTIFUNCIONAL + SCANNER,"4000.01","4500","425","743","893"
MONITOR DE LCD + LED,"0.01",250,"28","48","59"
MONITOR DE LCD + LED,"250.01",300,"33","57","69"
MONITOR DE LCD + LED,"300.01",350,"38","66","80"
MONITOR DE LCD + LED,"350.01",400,"43","75","90"
MONITOR DE LCD + LED,"400.01",450,"48","84","101"
MONITOR DE LCD + LED,"450.01",500,"53","93","111"
MONITOR DE LCD + LED,"500.01",600,"61","106","128"
MONITOR DE LCD + LED,"600.01",800,"76","133","160"
MONITOR DE LCD + LED,"800.01","1000","97","170","204"
MONITOR DE LCD + LED,"1000.01","1500","135","235","284"
MONITOR DE LCD + LED,"1500.01","2000","187","327","393"
MONITOR DE LCD + LED,"2000.01","2500","239","418","502"
MONITOR DE LCD + LED,"2500.01","3000","289","505","607"
MONITOR DE LCD + LED,"3000.01","3500","340","594","714"
MONITOR DE LCD + LED,"3500.01","4000","382","669","802"
TABLET + IPAD,"0.01",300,"33","57","69"
TABLET + IPAD,"300.01",400,"41","72","86"
TABLET + IPAD,"400.01",500,"52","91","109"
TABLET + IPAD,"500.01",600,"63","110","132"
TABLET + IPAD,"600.01",700,"74","130","155"
TABLET + IPAD,"700.01",800,"85","149","179"
TABLET + IPAD,"800.01",900,"96","167","202"
TABLET + IPAD,"900.01","1000","106","185","223"
TABLET + IPAD,"1000.01","1200","122","213","256"
TABLET + IPAD,"1200.01","1600","155","271","326"
TABLET + IPAD,"1600.01","1800","188","329","395"
TABLET + IPAD,"1800.01","2000","208","364","437"
TABLET + IPAD,"2000.01","2500","246","430","517"
TABLET + IPAD,"2500.01","3000","300","525","630"
TABLET + IPAD,"3000.01","3500","348","609","731"
TABLET + IPAD,"3500.01","4000","399","698","838"
TABLET + IPAD,"4000.01","4500","452","790","949"
TABLET + IPAD,"4500.01","5000","501","877","1052"
TABLET + IPAD,"5000.01","5500","552","966","1159"
TABLET + IPAD,"5500.01","6000","594","1040","1247"
TELEFONE CELULAR,"0.01",150,"16","27","34"
TELEFONE CELULAR,"150.01",200,"22","38","46"
TELEFONE CELULAR,"200.01",250,"28","48","59"
TELEFONE CELULAR,"250.01",300,"33","57","69"
TELEFONE CELULAR,"300.01",350,"39","67","82"
TELEFONE CELULAR,"350.01",400,"44","76","92"
TELEFONE CELULAR,"400.01",450,"49","85","103"
TELEFONE CELULAR,"450.01",500,"54","94","113"
TELEFONE CELULAR,"500.01",600,"62","109","130"
TELEFONE CELULAR,"600.01",700,"74","130","155"
TELEFONE CELULAR,"700.01",800,"85","149","179"
TELEFONE CELULAR,"800.01",900,"97","170","204"
TELEFONE CELULAR,"900.01","1000","107","188","225"
TELEFONE CELULAR,"1000.01","1250","128","223","269"
TELEFONE CELULAR,"1250.01","1500","156","272","328"
TELEFONE CELULAR,"1500.01","1750","184","321","386"
TELEFONE CELULAR,"1750.01","2000","212","370","445"
TELEFONE CELULAR,"2000.01","2500","254","444","533"
TELEFONE CELULAR,"2500.01","3000","310","542","651"
TELEFONE CELULAR,"3000.01","3500","366","640","769"
TELEFONE CELULAR,"3500.01","4000","422","738","886"
TELEFONE CELULAR,"4000.01","5000","506","885","1063"
TELEFONE CELULAR,"5000.01","6000","618","1081","1298"
TELEFONE CELULAR,"6000.01","7000","722","1263","1516"
TELEFONE CELULAR,"7000.01","8000","824","1442","1730"
TELEFONE CELULAR,"8000.01","9000","927","1622","1947"
TELEFONE CELULAR,"9000.01","10000","1027","1797","2157"
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"0.01",200,R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"200.01",300,R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"300.01",400,R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"400.01",500,R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"500.01",600,R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"600.01",700,R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"700.01",800,R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"800.01",900,R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"900.01","1000",R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"1000.01","2000",R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"2000.01","3000",R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"3000.01","4000",R$,,
BICICLETA (CONVENCIONAL ARO) 3 MESES DE GTA E 21 MESES DE GARANTIA ESTENDIDA,"4000.01","5000",R$,,
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"0.01",200,R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"200.01",250,R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"250.01",300,R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"300.01",350,R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"350.01",400,R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"400.01",450,R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"450.01",500,R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"500.01",700,R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"700.01",900,R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"900.01","1000",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"1000.01","1250",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"1250.01","1500",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"1500.01","1750",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"1750.01","2000",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"2000.01","2500",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"2500.01","3000",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"3000.01","3500",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"3500.01","4000",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"4000.01","4500",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"4500.01","5000",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"5000.01","6000",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"6000.01","7000",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"7000.01","8000",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"8000.01","9000",R$,R$,R$
FITNESS ELÍPTICO / ESTEIRA / ERGOMÉTRICA /  PLATAFORMA VIBRATÓRIA / FITNESS REMO /  APARELHO ABDOMINAL / STEPPER,"9000.01","10000",R$,R$,R$
FERRAMENTAS,"0.01",200,R$,R$,R$
FERRAMENTAS,"200.01",300,R$,R$,R$
FERRAMENTAS,"300.01",400,R$,R$,R$
FERRAMENTAS,"400.01",500,R$,R$,R$
FERRAMENTAS,"500.01",600,R$,R$,R$
FERRAMENTAS,"600.01",700,R$,R$,R$
FERRAMENTAS,"700.01",800,R$,R$,R$
FERRAMENTAS,"800.01",900,R$,R$,R$
FERRAMENTAS,"900.01","1000",R$,R$,R$
FERRAMENTAS,"1000.01","2000",R$,R$,R$
FERRAMENTAS,"2000.01","3000",R$,R$,R$
FERRAMENTAS,"3000.01","4000",R$,R$,R$
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"0.01",200,R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"200.01",300,R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"300.01",400,R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"400.01",500,R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"500.01",600,R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"600.01",700,R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"700.01",800,R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"800.01",900,R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"900.01","1000",R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"1000.01","2000",R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"2000.01","3000",R$,,
FERRAMENTAS - 24 MESES DE GARANTIA DE FÁBRICA,"3000.01","4000",R$,,
CARRINHO DE BEBE,"0.01",250,"29","52","61"
CARRINHO DE BEBE,"250.01",300,"34","62","71"
CARRINHO DE BEBE,"300.01",350,"40","71","84"
CARRINHO DE BEBE,"350.01",400,"45","81","95"
CARRINHO DE BEBE,"400.01",450,"51","90","107"
CARRINHO DE BEBE,"450.01",500,"56","100","118"
CARRINHO DE BEBE,"500.01",600,"63","113","132"
CARRINHO DE BEBE,"600.01",800,"80","144","168"
CARRINHO DE BEBE,"800.01","1000","102","184","214"
CARRINHO DE BEBE,"1000.01","1500","141","254","296"
CARRINHO DE BEBE,"1500.01","2000","197","355","414"
CARRINHO DE BEBE,"2000.01","2500","253","455","531"
CARRINHO DE BEBE,"2500.01","3000","309","556","649"
CARRINHO DE BEBE,"3000.01","3500","364","655","764"
CARRINHO DE BEBE,"3500.01","4000","419","754","880"
CARRINHO DE BEBE,"4000.01","4500","474","853","995"
CARRINHO DE BEBE,"4500.01","5000","527","947","1107"
PEQUENO PORTE,"0.01",40,"10","17","21"
PEQUENO PORTE,"40.01",80,"13","23","27"
PEQUENO PORTE,"80.01",120,"16","27","34"
PEQUENO PORTE,"120.01",160,"17","30","36"
PEQUENO PORTE,"160.01",200,"20","35","42"
PEQUENO PORTE,"200.01",250,"23","39","48"
PEQUENO PORTE,"250.01",300,"26","45","55"
PEQUENO PORTE,"300.01",350,"39","68","82"
PEQUENO PORTE,"350.01",400,"46","79","97"
PEQUENO PORTE,"400.01",450,"49","86","103"
PEQUENO PORTE,"450.01",500,"55","96","116"
PEQUENO PORTE,"500.01",600,"63","111","132"
PEQUENO PORTE,"600.01",700,"75","131","158"
PEQUENO PORTE,"700.01",800,"92","161","193"
PEQUENO PORTE,"800.01",900,"105","183","221"
PEQUENO PORTE,"900.01","1000","119","208","250"
PEQUENO PORTE,"1000.01","1100","140","244","294"
PEQUENO PORTE,"1100.01","1200","154","269","323"
PEQUENO PORTE,"1200.01","1300","166","291","349"
PEQUENO PORTE,"1300.01","1400","180","314","378"
PEQUENO PORTE,"1400.01","1500","213","372","447"
PEQUENO PORTE,"1500.01","2000","260","454","546"
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"0.01",40,"15",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"40.01",80,"20",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"80.01",120,"23",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"120.01",160,"26",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"160.01",200,"30",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"200.01",250,"34",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"250.01",300,"39",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"300.01",350,"58",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"350.01",400,"68",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"400.01",450,"73",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"450.01",500,"82",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"500.01",600,"95",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"600.01",700,"112",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"700.01",800,"138",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"800.01",900,"157",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"900.01","1000","178",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"1000.01","1100","209",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"1100.01","1200","230",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"1200.01","1300","249",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"1300.01","1400","269",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"1400.01","1500","319",,
PEQUENO PORTE - 24 MESES DE GARANTIA DE FÁBRICA,"1500.01","2000","390",,
EQUIPAMENTOS DE SEGURANÇA,"0.01",40,"10","17","21"
EQUIPAMENTOS DE SEGURANÇA,"40.01",80,"13","23","27"
EQUIPAMENTOS DE SEGURANÇA,"80.01",120,"16","27","34"
EQUIPAMENTOS DE SEGURANÇA,"120.01",160,"17","30","36"
EQUIPAMENTOS DE SEGURANÇA,"160.01",200,"20","35","42"
EQUIPAMENTOS DE SEGURANÇA,"200.01",250,"23","39","48"
EQUIPAMENTOS DE SEGURANÇA,"250.01",300,"26","45","55"
EQUIPAMENTOS DE SEGURANÇA,"300.01",350,"39","68","82"
EQUIPAMENTOS DE SEGURANÇA,"350.01",400,"46","79","97"
EQUIPAMENTOS DE SEGURANÇA,"400.01",450,"49","86","103"
EQUIPAMENTOS DE SEGURANÇA,"450.01",500,"55","96","116"
EQUIPAMENTOS DE SEGURANÇA,"500.01",600,"63","111","132"
EQUIPAMENTOS DE SEGURANÇA,"600.01",700,"75","131","158"
EQUIPAMENTOS DE SEGURANÇA,"700.01",800,"92","161","193"
EQUIPAMENTOS DE SEGURANÇA,"800.01",900,"105","183","221"
EQUIPAMENTOS DE SEGURANÇA,"900.01","1000","119","208","250"
EQUIPAMENTOS DE SEGURANÇA,"1000.01","1100","140","244","294"
EQUIPAMENTOS DE SEGURANÇA,"1100.01","1200","154","269","323"
EQUIPAMENTOS DE SEGURANÇA,"1200.01","1300","166","291","349"
EQUIPAMENTOS DE SEGURANÇA,"1300.01","1400","180","314","378"
EQUIPAMENTOS DE SEGURANÇA,"1400.01","1500","213","372","447"
EQUIPAMENTOS DE SEGURANÇA,"1500.01","2000","260","454","546"
MOVEIS  / MÓVEIS ESTOFADOS,"0.01",200,"20","35","42"
MOVEIS  / MÓVEIS ESTOFADOS,"200.01",300,"33","57","69"
MOVEIS  / MÓVEIS ESTOFADOS,"300.01",400,"45","79","95"
MOVEIS  / MÓVEIS ESTOFADOS,"400.01",500,"58","101","122"
MOVEIS  / MÓVEIS ESTOFADOS,"500.01",600,"70","122","147"
MOVEIS  / MÓVEIS ESTOFADOS,"600.01",700,"82","143","172"
MOVEIS  / MÓVEIS ESTOFADOS,"700.01",800,"94","164","197"
MOVEIS  / MÓVEIS ESTOFADOS,"800.01",900,"106","185","223"
MOVEIS  / MÓVEIS ESTOFADOS,"900.01","1000","117","204","246"
MOVEIS  / MÓVEIS ESTOFADOS,"1000.01","1250","137","240","288"
MOVEIS  / MÓVEIS ESTOFADOS,"1250.01","1400","160","280","336"
MOVEIS  / MÓVEIS ESTOFADOS,"1400.01","1600","180","315","378"
MOVEIS  / MÓVEIS ESTOFADOS,"1600.01","1800","202","354","424"
MOVEIS  / MÓVEIS ESTOFADOS,"1800.01","2000","225","394","473"
MOVEIS  / MÓVEIS ESTOFADOS,"2000.01","2200","247","431","519"
MOVEIS  / MÓVEIS ESTOFADOS,"2200.01","2400","267","467","561"
MOVEIS  / MÓVEIS ESTOFADOS,"2400.01","2600","289","505","607"
MOVEIS  / MÓVEIS ESTOFADOS,"2600.01","2800","312","545","655"
MOVEIS  / MÓVEIS ESTOFADOS,"2800.01","3000","331","580","695"
MOVEIS  / MÓVEIS ESTOFADOS,"3000.01","3500","370","646","777"
MOVEIS  / MÓVEIS ESTOFADOS,"3500.01","4000","424","741","890"
MOVEIS  / MÓVEIS ESTOFADOS,"4000.01","5000","505","884","1061"
MOVEIS  / MÓVEIS ESTOFADOS,"5000.01","6000","522","914","1096"
MOVEIS  / MÓVEIS ESTOFADOS,"6000.01","7000","580","1015","1218"
MOVEIS  / MÓVEIS ESTOFADOS,"7000.01","8000","644","1127","1352"
MOVEIS  / MÓVEIS ESTOFADOS,"8000.01","9000","714","1250","1499"
MOVEIS  / MÓVEIS ESTOFADOS,"9000.01","10000","793","1388","1665"
MOVEIS  / MÓVEIS ESTOFADOS,"10000.01","11000","880","1540","1848"
MOVEIS  / MÓVEIS ESTOFADOS,"11000.01","12000","977","1710","2052"
MOVEIS  / MÓVEIS ESTOFADOS,"12000.01","13000","1085","1899","2279"
MOVEIS  / MÓVEIS ESTOFADOS,"13000.01","14000","1204","2107","2528"
MOVEIS  / MÓVEIS ESTOFADOS,"14000.01","15000","1336","2338","2806"
MOVEIS  / MÓVEIS ESTOFADOS,"15000.01","16000","1483","2595","3114"
MOVEIS  / MÓVEIS ESTOFADOS,"16000.01","17000","1647","2882","3459"
MOVEIS  / MÓVEIS ESTOFADOS,"17000.01","18000","1828","3199","3839"
MOVEIS  / MÓVEIS ESTOFADOS,"18000.01","19000","2029","3551","4261"
MOVEIS  / MÓVEIS ESTOFADOS,"19000.01","20000","2252","3941","4729"
