10000,110010723,0.01,500,54
10000,110011513,0.01,500,94
10000,110011514,0.01,500,113
10001,110010723,500.01,600,65
10001,110011513,500.01,600,113
10001,110011514,500.01,600,137
10002,110010723,600.01,700,75
10002,110011513,600.01,700,131
10002,110011514,600.01,700,158
10003,110010723,700.01,800,84
10003,110011513,700.01,800,147
10003,110011514,700.01,800,176
10004,110010723,800.01,900,96
10004,110011513,800.01,900,167
10004,110011514,800.01,900,202
10005,110010723,900.01,1000,106
10005,110011513,900.01,1000,185
10005,110011514,900.01,1000,223
10006,110010723,1000.01,1100,115
10006,110011513,1000.01,1100,201
10006,110011514,1000.01,1100,242
10007,110010723,1100.01,1200,126
10007,110011513,1100.01,1200,220
10007,110011514,1100.01,1200,265
10008,110010723,1200.01,1300,136
10008,110011513,1200.01,1300,238
10008,110011514,1200.01,1300,286
10009,110010723,1300.01,1400,146
10009,110011513,1300.01,1400,256
10009,110011514,1300.01,1400,307
10010,110010723,1400.01,1500,156
10010,110011513,1400.01,1500,272
10010,110011514,1400.01,1500,328
10011,110010723,1500.01,1600,166
10011,110011513,1500.01,1600,290
10011,110011514,1500.01,1600,349
10012,110010723,1600.01,1700,176
10012,110011513,1600.01,1700,308
10012,110011514,1600.01,1700,370
10013,110010723,1700.01,1800,185
10013,110011513,1700.01,1800,324
10013,110011514,1700.01,1800,389
10014,110010723,1800.01,1900,196
10014,110011513,1800.01,1900,342
10014,110011514,1800.01,1900,412
10015,110010723,1900.01,2000,203
10015,110011513,1900.01,2000,355
10015,110011514,1900.01,2000,426
10016,110010723,2000.01,2200,219
10016,110011513,2000.01,2200,384
10016,110011514,2000.01,2200,460
10017,110010723,2200.01,2400,238
10017,110011513,2200.01,2400,416
10017,110011514,2200.01,2400,500
10018,110010723,2400.01,2600,255
10018,110011513,2400.01,2600,446
10018,110011514,2400.01,2600,536
10019,110010723,2600.01,2800,276
10019,110011513,2600.01,2800,483
10019,110011514,2600.01,2800,580
10020,110010723,2800.01,3000,296
10020,110011513,2800.01,3000,517
10020,110011514,2800.01,3000,622
10021,110010723,3000.01,3500,325
10021,110011513,3000.01,3500,569
10021,110011514,3000.01,3500,683
